n,opt2,wyzyz,farthest
5 , 2367.451710682572 , 2192.2643856934046 , 2485.6637116665115
6 , 2281.088909903985 , 2378.1623233562073 , 2553.2142055023373
7 , 2748.16955068159 , 2796.757901519344 , 2916.383710446171
8 , 2752.446479064529 , 3399.803910091111 , 3527.5609668695824
9 , 3018.8424756328104 , 3568.4953852562976 , 3948.35340538279
10 , 2840.626847699639 , 3466.035632678087 , 3658.1989233315267
11 , 3415.8593845521077 , 4463.422643514582 , 4124.1253585419945
12 , 3346.4493022300594 , 4505.181352635851 , 4792.974959213431
13 , 3488.398772472194 , 4691.964985968695 , 4754.2736670405675
14 , 3655.1556421410737 , 5686.539787580317 , 5321.364279875541
15 , 3819.4331923860364 , 5894.176309101768 , 5657.210965015912
16 , 3797.573254120365 , 6320.782598111498 , 6271.519915456183
17 , 3637.0550460829245 , 6887.83908088661 , 6643.737935235605
18 , 3992.6415194983833 , 7038.613991932206 , 6862.7187618932785
19 , 4132.2933809125 , 7871.372390940145 , 7614.247500407781
20 , 4126.376747628887 , 7075.467847011743 , 6607.921508783492
21 , 4217.143048239378 , 8501.231541224477 , 7232.552771593235
22 , 4099.232978555405 , 8357.498135317142 , 7679.737607611869
23 , 4465.149815298762 , 8363.910505836146 , 8768.214055136807
24 , 4466.722483074916 , 9063.388041959024 , 9007.96076762266
25 , 4485.396255730698 , 9518.311212083796 , 8916.961851246826
26 , 4659.544807020602 , 9866.011217008689 , 9339.907485396663
27 , 4772.314672935214 , 10016.873210157739 , 10117.052953717619
28 , 4927.613209867833 , 10233.032072338106 , 9773.357313901663
29 , 4993.899993298103 , 11284.505446098283 , 11054.643966798172
30 , 5062.339296244489 , 12000.270858820633 , 11653.919064434218